Date : 2023-12-12 13:15:54
Directory : /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/src
Total : 199 files,  -27212 codes, -9800 comments, -6859 blanks, all -43871 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/clockless_rmt_esp32.h                              | C++                |       -168 |       -206 |        -62 |       -436 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/fastled_esp32.h                                    | C++                |        -10 |         -1 |         -5 |        -16 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/fastpin_esp32.h                                    | C++                |       -100 |        -21 |        -39 |       -160 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/fastspi_esp32.h                                    | C++                |        -96 |        -58 |        -27 |       -181 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/led_sysdefs_esp32.h                                | C++                |        -29 |         -6 |        -12 |        -47 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/clockless_block_esp8266.h                        | C++                |       -111 |        -13 |        -37 |       -161 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/clockless_esp8266.h                              | C++                |       -120 |        -15 |        -27 |       -162 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/fastled_esp8266.h                                | C++                |         -7 |          0 |         -4 |        -11 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/fastpin_esp8266.h                                | C++                |        -66 |         -8 |        -27 |       -101 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/fastspi_esp8266.h                                | C++                |        -74 |        -50 |        -21 |       -145 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/8266/led_sysdefs_esp8266.h                            | C++                |        -24 |         -3 |        -11 |        -38 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/fastspi_ardunio_core.h                                    | C++                |        -63 |        -17 |        -24 |       -104 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/power_mgt.cpp                                                       | C++                |       -114 |        -39 |        -43 |       -196 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/power_mgt.h                                                         | C++                |        -16 |        -67 |        -27 |       -110 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/wiring.cpp                                                          | C++                |       -170 |        -37 |        -36 |       -243 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/workspace.code-workspace                                                | JSON with Comments |         -7 |          0 |          0 |         -7 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/platformio.ini                                                                             | Ini                |         -4 |         -9 |         -2 |        -15 |
| Total                                                                                                                                                |                    |    -27,212 |     -9,800 |     -6,859 |    -43,871 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
